Subscription ID,Household Income,Home Ownership,Children,Year Of Residence,Age Range,Recruitment Channel,Subscriber
180590686,"$  20,000 - $49,999",RENTER,N,1,25-29,Website,NO
181401653,"$500,000 Plus",OWNER,Y,14,50-54,DirectMarketing,YES
180374685,"$100,000 - $199,999",OWNER,Y,7,45-49,DirectMarketing,YES
180703483,"$200,000 - $299,999",OWNER,N,23,55-59,Website,NO
180358906,"$  50,000 - $99,999",OWNER,N,23,60-64,Website,YES
180556305,"$500,000 Plus",OWNER,Y,10,45-49,DirectMarketing,NO
140606609,"$100,000 - $199,999",OWNER,N,4,75 years or more,Website,NO
180185490,"$400,000 - $499,999",OWNER,Y,22,45-49,DirectMarketing,NO
180571846,"$100,000 - $199,999",OWNER,N,2,45-49,Website,NO
180494488,"$  50,000 - $99,999",OWNER,N,6,65-69,DirectMarketing,YES
180264414,"$100,000 - $199,999",OWNER,N,7,50-54,DirectMarketing,NO
120402088,"$500,000 Plus",OWNER,N,25,55-59,DirectMarketing,NO
180602830,"$100,000 - $199,999",OWNER,N,23,70-74,Website,NO
180418021,"$400,000 - $499,999",OWNER,Y,16,50-54,DirectMarketing,NO
140178055,"$100,000 - $199,999",OWNER,N,11,65-69,DirectMarketing,NO
150186113,"$200,000 - $299,999",OWNER,N,1,25-29,DirectMarketing,NO
140262685,"Under $20,000",RENTER,N,7,25-29,DirectMarketing,NO
110544411,"$  50,000 - $99,999",OWNER,N,7,60-64,DirectMarketing,NO
180463389,"$400,000 - $499,999",OWNER,Y,12,40-44,DirectMarketing,NO
130306735,"$200,000 - $299,999",OWNER,N,26,70-74,DirectMarketing,YES
120488209,"$400,000 - $499,999",OWNER,Y,20,45-49,DirectMarketing,NO
180289969,"$100,000 - $199,999",RENTER,N,2,60-64,DirectMarketing,NO
160243731,"$100,000 - $199,999",RENTER,N,4,55-59,Website,NO
180389551,"$  50,000 - $99,999",RENTER,N,4,75 years or more,DirectMarketing,NO
170426824,"$200,000 - $299,999",RENTER,N,1,40-44,DirectMarketing,NO
130114473,"$100,000 - $199,999",RENTER,N,3,75 years or more,DirectMarketing,NO
160548791,"$200,000 - $299,999",OWNER,N,10,70-74,DirectMarketing,YES
130405127,"$300,000 - $399,999",OWNER,Y,21,50-54,DirectMarketing,NO
130481399,"$  20,000 - $49,999",RENTER,N,6,24 years or less,Website,NO
140530134,"$300,000 - $399,999",OWNER,Y,4,45-49,DirectMarketing,YES
180686396,"$200,000 - $299,999",OWNER,N,15,40-44,DirectMarketing,NO
181374751,"Under $20,000",OWNER,N,17,65-69,DirectMarketing,NO
180221094,"$100,000 - $199,999",OWNER,Y,27,50-54,DirectMarketing,NO
181308755,"$100,000 - $199,999",OWNER,N,30,75 years or more,DirectMarketing,NO
140541579,"Under $20,000",RENTER,N,4,60-64,DirectMarketing,NO
140472398,"$100,000 - $199,999",OWNER,N,20,55-59,DirectMarketing,NO
170104803,"$100,000 - $199,999",OWNER,N,4,35-39,Website,NO
130013323,"$100,000 - $199,999",OWNER,N,13,65-69,DirectMarketing,NO
140355904,"$100,000 - $199,999",OWNER,N,19,60-64,DirectMarketing,NO
180490222,"$  50,000 - $99,999",RENTER,N,9,60-64,DirectMarketing,NO
170226834,"Under $20,000",RENTER,N,1,75 years or more,DirectMarketing,NO
181363423,"$  50,000 - $99,999",RENTER,Y,1,50-54,Website,NO
160463482,"$100,000 - $199,999",OWNER,Y,2,35-39,DirectMarketing,NO
181506304,"$100,000 - $199,999",OWNER,N,4,40-44,Website,YES
110612311,"$100,000 - $199,999",OWNER,N,10,55-59,DirectMarketing,NO
180547334,"$  20,000 - $49,999",RENTER,N,2,50-54,DirectMarketing,NO
130338004,"$400,000 - $499,999",OWNER,N,28,55-59,Website,NO
180405719,"$  20,000 - $49,999",OWNER,N,3,35-39,Website,NO
120574743,"$100,000 - $199,999",OWNER,Y,7,55-59,DirectMarketing,NO
110274120,"$100,000 - $199,999",OWNER,N,5,35-39,DirectMarketing,NO
130563390,"$100,000 - $199,999",OWNER,N,28,60-64,DirectMarketing,NO
140255965,"$100,000 - $199,999",OWNER,N,2,30-34,DirectMarketing,NO
140331782,"$300,000 - $399,999",OWNER,N,24,65-69,DirectMarketing,NO
140243386,"$100,000 - $199,999",OWNER,N,37,60-64,DirectMarketing,YES
160272634,"$  50,000 - $99,999",OWNER,N,7,30-34,DirectMarketing,NO
180396886,"$300,000 - $399,999",OWNER,N,29,60-64,DirectMarketing,NO
